iter	Passed	Remaining
832	41871	8394
833	41915	8342
834	41956	8290
835	41997	8238
836	42038	8186
837	42082	8135
838	42126	8083
839	42168	8032
840	42214	7981
841	42254	7928
842	42296	7877
843	42339	7825
844	42387	7775
845	42433	7724
846	42473	7672
847	42519	7621
848	42563	7570
849	42604	7518
850	42652	7467
851	42692	7416
852	42738	7365
853	42778	7313
854	42823	7262
855	42871	7211
856	42912	7160
857	42956	7109
858	43000	7058
859	43045	7007
860	43083	6955
861	43129	6904
862	43173	6853
863	43216	6802
864	43264	6752
865	43305	6700
866	43352	6650
867	43396	6599
868	43437	6548
869	43485	6497
870	43537	6448
871	43593	6399
872	43669	6352
873	43733	6304
874	43798	6256
875	43863	6208
876	43917	6159
877	43975	6110
878	44129	6074
879	44303	6041
880	44490	6009
881	44915	6009
882	45260	5997
883	45421	5960
884	45520	5915
885	45610	5868
886	45681	5819
887	45742	5769
888	45804	5719
889	45867	5668
890	45932	5619
891	46045	5574
892	46262	5543
893	46347	5495
894	46427	5446
895	46507	5398
896	46578	5348
897	46711	5305
898	46806	5258
899	46866	5207
900	47089	5174
901	47192	5127
902	47267	5077
903	47324	5025
904	47393	4975
905	47526	4931
906	47573	4878
907	47619	4824
908	47751	4780
909	47804	4727
910	47926	4682
911	48072	4638
912	48171	4590
913	48247	4539
914	48340	4490
915	48527	4450
916	48598	4398
917	48669	4347
918	48731	4295
919	48788	4242
920	48846	4189
921	48932	4139
922	49053	4092
923	49143	4042
924	49199	3989
925	49262	3936
926	49338	3885
927	49414	3833
928	49473	3781
929	49529	3728
930	49593	3675
931	49666	3623
932	49723	3570
933	49783	3517
934	49834	3464
935	49959	3416
936	50072	3366
937	50141	3314
938	50202	3261
939	50259	3208
940	50307	3154
941	50352	3100
942	50407	3046
943	50453	2993
944	50501	2939
945	50550	2885
946	50595	2831
947	50643	2777
948	50687	2723
949	50735	2670
950	50778	2616
951	50825	2562
952	50868	2508
953	50911	2454
954	50960	2401
955	51006	2347
956	51053	2293
957	51097	2240
958	51145	2186
959	51189	2132
960	51235	2079
961	51282	2025
962	51330	1972
963	51373	1918
964	51418	1864
965	51461	1811
966	51516	1758
967	51586	1705
968	51646	1652
969	51708	1599
970	51761	1545
971	51812	1492
972	51869	1439
973	51918	1385
974	51975	1332
975	52030	1279
976	52084	1226
977	52139	1172
978	52197	1119
979	52271	1066
980	52335	1013
981	52390	960
982	52433	906
983	52476	853
984	52525	799
985	52585	746
986	52661	693
987	52736	640
988	52813	587
989	52854	533
990	52897	480
991	52945	426
992	53005	373
993	53064	320
994	53125	266
995	53175	213
996	53222	160
997	53267	106
998	53309	53
999	53355	0
